ingress_host	count	method	uri	2xx	3xx	4xx	5xx	max	avg	sum	p90	p99	sum_body	avg_body
isucon-1	8637	POST	^/user/[^/]+/gacha/draw/[^/]+/[^/]+$	8609	0	28	0	0.457	0.094	812.664	0.199	0.264	17943691	2077.537
isucon-1	12825	POST	^/user/[^/]+/present/receive$	12801	0	24	0	0.391	0.053	681.325	0.113	0.166	60348020	4705.499
isucon-1	5270	POST	/login	4516	0	754	0	0.432	0.092	483.304	0.165	0.227	7229846	1371.887
isucon-1	8648	GET	^/user/[^/]+/gacha/index$	8636	0	12	0	0.442	0.051	436.782	0.103	0.162	74870367	8657.535
isucon-1	4149	POST	^/user/[^/]+/card/addexp/[^/]+$	4114	0	35	0	0.552	0.082	341.236	0.179	0.249	1371988	330.679
isucon-1	4513	POST	^/user/[^/]+/reward$	4508	0	5	0	0.328	0.054	244.594	0.111	0.161	970521	215.05
isucon-1	4181	POST	/user	4180	0	1	0	0.31	0.054	224.469	0.118	0.168	30353664	7259.905
isucon-1	12845	GET	^/user/[^/]+/present/index/[^/]+$	12826	0	19	0	0.303	0.016	199.787	0.039	0.13	54035778	4206.756
isucon-1	4118	POST	^/user/[^/]+/card$	4101	0	17	0	0.335	0.046	190.794	0.104	0.154	865415	210.154
isucon-1	4155	GET	^/user/[^/]+/item$	4153	0	2	0	0.264	0.044	180.895	0.095	0.142	6291240	1514.137
isucon-1	8696	GET	^/user/[^/]+/home$	8693	0	3	0	0.304	0.005	39.329	0.009	0.033	3382646	388.989
isucon-1	1	POST	/initialize	1	0	0	0	22.289	22.289	22.289	22.289	22.289	18	18
isucon-1	4	POST	/admin/login	2	0	2	0	0.104	0.057	0.227	0.104	0.104	433	108.25
isucon-1	1	GET	^/admin/user/[^/]+$	1	0	0	0	0.087	0.087	0.087	0.087	0.087	41884	41884
isucon-1	1	DELETE	/admin/logout	1	0	0	0	0.011	0.011	0.011	0.011	0.011	0	0
isucon-1	1	PUT	/admin/master	1	0	0	0	0.008	0.008	0.008	0.008	0.008	58	58
isucon-1	1	GET	/admin/master	1	0	0	0	0.005	0.005	0.005	0.005	0.005	118563	118563
isucon-1	1	POST	^/admin/user/[^/]+/ban$	1	0	0	0	0.002	0.002	0.002	0.002	0.002	178	178
