ingress_host	count	method	uri	2xx	3xx	4xx	5xx	max	avg	sum	p90	p99	sum_body	avg_body
isucon-1	58985	POST	^/user/[^/]+/present/receive$	58976	0	9	0	0.213	0.004	214.392	0.005	0.019	268091901	4545.086
isucon-1	34486	POST	^/user/[^/]+/gacha/draw/[^/]+/[^/]+$	34471	0	15	0	0.147	0.006	206.304	0.008	0.025	72013529	2088.196
isucon-1	24446	POST	^/user/[^/]+/card/addexp/[^/]+$	24445	0	1	0	0.212	0.005	127.759	0.007	0.021	8150917	333.425
isucon-1	34499	GET	^/user/[^/]+/gacha/index$	34487	0	12	0	0.114	0.004	121.142	0.005	0.019	299003322	8667.014
isucon-1	24537	POST	/user	24513	0	24	0	0.13	0.004	107.827	0.006	0.026	179055002	7297.347
isucon-1	10580	POST	/login	10012	0	568	0	0.113	0.007	74.19	0.012	0.039	14803870	1399.232
isucon-1	24478	GET	^/user/[^/]+/item$	24473	0	5	0	0.206	0.003	73.022	0.004	0.016	37032573	1512.892
isucon-1	24469	POST	^/user/[^/]+/card$	24466	0	3	0	0.114	0.003	70.099	0.004	0.016	5162376	210.976
isucon-1	9999	POST	^/user/[^/]+/reward$	9998	0	1	0	0.084	0.004	40.632	0.007	0.021	2152452	215.267
isucon-1	58991	GET	^/user/[^/]+/present/index/[^/]+$	58986	0	5	0	0.206	0.001	34.518	0.001	0.004	239812882	4065.245
isucon-1	1	POST	/initialize	1	0	0	0	34.153	34.153	34.153	34.153	34.153	18	18
isucon-1	34524	GET	^/user/[^/]+/home$	34508	0	16	0	0.205	0.001	19.939	0.001	0.004	13441629	389.342
isucon-1	4	POST	/admin/login	2	0	2	0	0.091	0.053	0.214	0.091	0.091	433	108.25
isucon-1	1	PUT	/admin/master	1	0	0	0	0.022	0.022	0.022	0.022	0.022	58	58
isucon-1	1	GET	/admin/master	1	0	0	0	0.006	0.006	0.006	0.006	0.006	118563	118563
isucon-1	1	GET	^/admin/user/[^/]+$	1	0	0	0	0.004	0.004	0.004	0.004	0.004	40932	40932
isucon-1	1	POST	^/admin/user/[^/]+/ban$	1	0	0	0	0.002	0.002	0.002	0.002	0.002	178	178
isucon-1	1	DELETE	/admin/logout	1	0	0	0	0.002	0.002	0.002	0.002	0.002	0	0
