ingress_host	count	method	uri	2xx	3xx	4xx	5xx	max	avg	sum	p90	p99	sum_body	avg_body
isucon-1	62754	POST	^/user/[^/]+/present/receive$	62746	0	8	0	0.105	0.005	313.978	0.01	0.029	285318590	4546.62
isucon-1	36363	POST	^/user/[^/]+/gacha/draw/[^/]+/[^/]+$	36351	0	12	0	0.167	0.008	291.491	0.016	0.042	75952458	2088.729
isucon-1	26345	POST	^/user/[^/]+/card/addexp/[^/]+$	26333	0	12	0	0.126	0.007	178.666	0.012	0.034	8780690	333.296
isucon-1	36368	GET	^/user/[^/]+/gacha/index$	36364	0	4	0	0.115	0.005	173.318	0.01	0.029	315276326	8669.059
isucon-1	10734	POST	/login	9981	0	753	0	0.14	0.016	170.454	0.029	0.069	15174051	1413.644
isucon-1	26436	POST	/user	26419	0	17	0	0.132	0.006	158.373	0.012	0.041	193098565	7304.379
isucon-1	26378	GET	^/user/[^/]+/item$	26378	0	0	0	0.09	0.004	106.241	0.007	0.023	39914176	1513.162
isucon-1	26363	POST	^/user/[^/]+/card$	26359	0	4	0	0.115	0.004	101.77	0.007	0.022	5561798	210.97
isucon-1	9979	POST	^/user/[^/]+/reward$	9974	0	5	0	0.125	0.006	61.013	0.013	0.034	2147498	215.202
isucon-1	62766	GET	^/user/[^/]+/present/index/[^/]+$	62759	0	7	0	0.079	0.001	56.358	0.002	0.007	255251063	4066.709
isucon-1	36396	GET	^/user/[^/]+/home$	36386	0	10	0	0.061	0.001	33.816	0.002	0.009	14173726	389.431
isucon-1	1	POST	/initialize	1	0	0	0	31.647	31.647	31.647	31.647	31.647	18	18
isucon-1	4	POST	/admin/login	2	0	2	0	0.082	0.052	0.206	0.082	0.082	433	108.25
isucon-1	1	GET	^/admin/user/[^/]+$	1	0	0	0	0.09	0.09	0.09	0.09	0.09	39883	39883
isucon-1	1	PUT	/admin/master	1	0	0	0	0.018	0.018	0.018	0.018	0.018	58	58
isucon-1	1	GET	/admin/master	1	0	0	0	0.006	0.006	0.006	0.006	0.006	118555	118555
isucon-1	1	POST	^/admin/user/[^/]+/ban$	1	0	0	0	0.003	0.003	0.003	0.003	0.003	178	178
isucon-1	1	DELETE	/admin/logout	1	0	0	0	0.002	0.002	0.002	0.002	0.002	0	0
