+-------+--------+--------------------------------------+-----+-----+-----+------+--------+--------+---------+--------+--------+-------------+------------+
| COUNT | METHOD |                 URI                  | 2XX | 3XX | 4XX | 5XX  |  MAX   |  AVG   |   SUM   |  P90   |  P99   |  SUM(BODY)  | AVG(BODY)  |
+-------+--------+--------------------------------------+-----+-----+-----+------+--------+--------+---------+--------+--------+-------------+------------+
| 2032  | POST   | /login                               | 117 | 0   | 116 | 1799 | 10.000 | 0.104  | 212.330 | 0.019  | 3.012  | 280471.000  | 138.027    |
| 131   | POST   | ^/user/[^/]+/gacha/draw/[^/]+/[^/]+$ | 122 | 0   | 9   | 0    | 10.001 | 1.031  | 135.082 | 1.074  | 10.001 | 240588.000  | 1836.550   |
| 35    | POST   | /user                                | 19  | 0   | 10  | 6    | 10.001 | 2.579  | 90.255  | 10.000 | 10.001 | 124580.000  | 3559.429   |
| 1     | POST   | /initialize                          | 1   | 0   | 0   | 0    | 48.490 | 48.490 | 48.490  | 48.490 | 48.490 | 18.000      | 18.000     |
| 147   | POST   | ^/user/[^/]+/present/receive$        | 147 | 0   | 0   | 0    | 5.887  | 0.294  | 43.245  | 0.600  | 3.317  | 703181.000  | 4783.544   |
| 130   | GET    | ^/user/[^/]+/gacha/index$            | 130 | 0   | 0   | 0    | 1.433  | 0.096  | 12.439  | 0.123  | 1.230  | 1126953.000 | 8668.869   |
| 148   | GET    | ^/user/[^/]+/present/index/[^/]+$    | 148 | 0   | 0   | 0    | 0.164  | 0.010  | 1.522   | 0.020  | 0.055  | 625152.000  | 4224.000   |
| 113   | POST   | ^/user/[^/]+/reward$                 | 113 | 0   | 0   | 0    | 0.027  | 0.011  | 1.241   | 0.015  | 0.020  | 24322.000   | 215.239    |
| 18    | POST   | ^/user/[^/]+/card$                   | 18  | 0   | 0   | 0    | 0.102  | 0.032  | 0.576   | 0.061  | 0.102  | 3075.000    | 170.833    |
| 19    | GET    | ^/user/[^/]+/item$                   | 19  | 0   | 0   | 0    | 0.076  | 0.027  | 0.517   | 0.045  | 0.076  | 33933.000   | 1785.947   |
| 136   | GET    | ^/user/[^/]+/home$                   | 131 | 0   | 5   | 0    | 0.015  | 0.003  | 0.362   | 0.004  | 0.012  | 50272.000   | 369.647    |
| 19    | POST   | ^/user/[^/]+/card/addexp/[^/]+$      | 18  | 0   | 1   | 0    | 0.027  | 0.018  | 0.335   | 0.025  | 0.027  | 5483.000    | 288.579    |
| 4     | POST   | /admin/login                         | 2   | 0   | 2   | 0    | 0.115  | 0.066  | 0.264   | 0.115  | 0.115  | 415.000     | 103.750    |
| 1     | GET    | ^/admin/user/[^/]+$                  | 1   | 0   | 0   | 0    | 0.015  | 0.015  | 0.015   | 0.015  | 0.015  | 40695.000   | 40695.000  |
| 1     | POST   | ^/admin/user/[^/]+/ban$              | 1   | 0   | 0   | 0    | 0.013  | 0.013  | 0.013   | 0.013  | 0.013  | 178.000     | 178.000    |
| 1     | PUT    | /admin/master                        | 1   | 0   | 0   | 0    | 0.011  | 0.011  | 0.011   | 0.011  | 0.011  | 58.000      | 58.000     |
| 1     | DELETE | /admin/logout                        | 1   | 0   | 0   | 0    | 0.008  | 0.008  | 0.008   | 0.008  | 0.008  | 0.000       | 0.000      |
| 1     | GET    | /admin/master                        | 1   | 0   | 0   | 0    | 0.006  | 0.006  | 0.006   | 0.006  | 0.006  | 118564.000  | 118564.000 |
| 1     | GET    | /index.html                          | 1   | 0   | 0   | 0    | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 396.000     | 396.000    |
+-------+--------+--------------------------------------+-----+-----+-----+------+--------+--------+---------+--------+--------+-------------+------------+
