ingress_host	count	method	uri	2xx	3xx	4xx	5xx	max	avg	sum	p90	p99	sum_body	avg_body
isucon-1	2032	POST	/login	117	0	116	1799	10	0.104	212.33	0.019	3.012	280471	138.027
isucon-1	131	POST	^/user/[^/]+/gacha/draw/[^/]+/[^/]+$	122	0	9	0	10.001	1.031	135.082	1.074	10.001	240588	1836.55
isucon-1	35	POST	/user	19	0	10	6	10.001	2.579	90.255	10	10.001	124580	3559.429
isucon-1	1	POST	/initialize	1	0	0	0	48.49	48.49	48.49	48.49	48.49	18	18
isucon-1	147	POST	^/user/[^/]+/present/receive$	147	0	0	0	5.887	0.294	43.245	0.6	3.317	703181	4783.544
isucon-1	130	GET	^/user/[^/]+/gacha/index$	130	0	0	0	1.433	0.096	12.439	0.123	1.23	1126953	8668.869
isucon-1	148	GET	^/user/[^/]+/present/index/[^/]+$	148	0	0	0	0.164	0.01	1.522	0.02	0.055	625152	4224
isucon-1	113	POST	^/user/[^/]+/reward$	113	0	0	0	0.027	0.011	1.241	0.015	0.02	24322	215.239
isucon-1	18	POST	^/user/[^/]+/card$	18	0	0	0	0.102	0.032	0.576	0.061	0.102	3075	170.833
isucon-1	19	GET	^/user/[^/]+/item$	19	0	0	0	0.076	0.027	0.517	0.045	0.076	33933	1785.947
isucon-1	136	GET	^/user/[^/]+/home$	131	0	5	0	0.015	0.003	0.362	0.004	0.012	50272	369.647
isucon-1	19	POST	^/user/[^/]+/card/addexp/[^/]+$	18	0	1	0	0.027	0.018	0.335	0.025	0.027	5483	288.579
isucon-1	4	POST	/admin/login	2	0	2	0	0.115	0.066	0.264	0.115	0.115	415	103.75
isucon-1	1	GET	^/admin/user/[^/]+$	1	0	0	0	0.015	0.015	0.015	0.015	0.015	40695	40695
isucon-1	1	POST	^/admin/user/[^/]+/ban$	1	0	0	0	0.013	0.013	0.013	0.013	0.013	178	178
isucon-1	1	PUT	/admin/master	1	0	0	0	0.011	0.011	0.011	0.011	0.011	58	58
isucon-1	1	DELETE	/admin/logout	1	0	0	0	0.008	0.008	0.008	0.008	0.008	0	0
isucon-1	1	GET	/admin/master	1	0	0	0	0.006	0.006	0.006	0.006	0.006	118564	118564
isucon-4	1	GET	/index.html	1	0	0	0	0	0	0	0	0	396	396
