ingress_host	count	method	uri	2xx	3xx	4xx	5xx	max	avg	sum	p90	p99	sum_body	avg_body
isucon-1	88011	POST	^/user/[^/]+/present/receive$	87997	0	14	0	0.081	0.002	197.709	0.003	0.012	395580341	4494.669
isucon-1	49008	GET	^/user/[^/]+/gacha/index$	49003	0	5	0	0.089	0.002	107.916	0.003	0.011	424803583	8668.046
isucon-1	49001	POST	^/user/[^/]+/gacha/draw/[^/]+/[^/]+$	48985	0	16	0	0.086	0.002	104.937	0.003	0.011	102422954	2090.222
isucon-1	39050	POST	/user	39026	0	24	0	0.088	0.002	94.132	0.003	0.013	284698113	7290.605
isucon-1	38982	GET	^/user/[^/]+/item$	38979	0	3	0	0.061	0.002	78.087	0.003	0.01	58990869	1513.285
isucon-1	38944	POST	^/user/[^/]+/card/addexp/[^/]+$	38943	0	1	0	0.086	0.002	77.406	0.003	0.009	12985519	333.441
isucon-1	38971	POST	^/user/[^/]+/card$	38970	0	1	0	0.049	0.002	77.036	0.003	0.01	8222720	210.996
isucon-1	88033	GET	^/user/[^/]+/present/index/[^/]+$	88013	0	20	0	0.042	0.001	51.789	0.001	0.004	353959409	4020.758
isucon-1	10684	POST	/login	10018	0	666	0	0.052	0.003	34.988	0.006	0.02	14448102	1352.312
isucon-1	1	POST	/initialize	1	0	0	0	33.706	33.706	33.706	33.706	33.706	18	18
isucon-1	49043	GET	^/user/[^/]+/home$	49039	0	4	0	0.041	0.001	27.625	0.001	0.005	19107994	389.617
isucon-1	10015	POST	^/user/[^/]+/reward$	10011	0	4	0	0.052	0.002	23.224	0.004	0.014	2155416	215.219
isucon-1	4	POST	/admin/login	2	0	2	0	0.085	0.052	0.208	0.085	0.085	433	108.25
isucon-1	1	PUT	/admin/master	1	0	0	0	0.022	0.022	0.022	0.022	0.022	58	58
isucon-1	1	GET	^/admin/user/[^/]+$	1	0	0	0	0.007	0.007	0.007	0.007	0.007	42058	42058
isucon-1	1	GET	/admin/master	1	0	0	0	0.005	0.005	0.005	0.005	0.005	118549	118549
isucon-1	1	DELETE	/admin/logout	1	0	0	0	0.004	0.004	0.004	0.004	0.004	0	0
isucon-1	1	POST	^/admin/user/[^/]+/ban$	1	0	0	0	0.002	0.002	0.002	0.002	0.002	178	178
