upstream_addr	upstream_status	cache_status	requests	status_2xx	status_3xx	status_4xx	status_5xx	status_other	response_time_sum_ms	response_time_avg_ms	upstream_time_sum_ms	upstream_time_avg_ms
127.0.0.1:8080	200	NONE	7	7	0	0	0	0	25125.000	3589.286	25128.000	3589.714
127.0.0.1:8080	204	NONE	1	1	0	0	0	0	2.000	2.000	4.000	4.000
127.0.0.1:8080	401	NONE	1	0	0	1	0	0	61.000	61.000	60.000	60.000
127.0.0.1:8080	404	NONE	1	0	0	1	0	0	2.000	2.000	0.000	0.000
172.31.33.164:8080	200	NONE	26250	26250	0	0	0	0	738029.000	28.115	738684.000	28.140
172.31.33.164:8080	403	NONE	155	0	0	155	0	0	2923.000	18.858	2956.000	19.071
172.31.33.164:8080	422	NONE	9	0	0	9	0	0	300.000	33.333	308.000	34.222
172.31.33.164:8080	NONE	NONE	37	0	0	37	0	0	6751.000	182.459	6744.000	182.270
172.31.36.222:8080	200	NONE	26234	26234	0	0	0	0	748146.000	28.518	748052.000	28.515
172.31.36.222:8080	403	NONE	176	0	0	176	0	0	2532.000	14.386	2536.000	14.409
172.31.36.222:8080	422	NONE	11	0	0	11	0	0	465.000	42.273	464.000	42.182
172.31.36.222:8080	NONE	NONE	30	0	0	30	0	0	4503.000	150.100	4484.000	149.467
172.31.36.71:8080	200	NONE	26263	26263	0	0	0	0	744929.000	28.364	745328.000	28.379
172.31.36.71:8080	400	NONE	1	0	0	1	0	0	0.000	0.000	0.000	0.000
172.31.36.71:8080	401	NONE	1	0	0	1	0	0	8.000	8.000	8.000	8.000
172.31.36.71:8080	403	NONE	154	0	0	154	0	0	2876.000	18.675	2856.000	18.545
172.31.36.71:8080	422	NONE	11	0	0	11	0	0	462.000	42.000	464.000	42.182
172.31.36.71:8080	NONE	NONE	21	0	0	21	0	0	2955.000	140.714	2948.000	140.381
172.31.45.101:8080	200	NONE	26262	26262	0	0	0	0	980413.000	37.332	980284.000	37.327
172.31.45.101:8080	403	NONE	148	0	0	148	0	0	3524.000	23.811	3512.000	23.730
172.31.45.101:8080	404	NONE	1	0	0	1	0	0	11.000	11.000	12.000	12.000
172.31.45.101:8080	422	NONE	8	0	0	8	0	0	215.000	26.875	216.000	27.000
172.31.45.101:8080	NONE	NONE	33	0	0	33	0	0	6449.000	195.424	6440.000	195.152
172.31.45.54:8080	200	NONE	26276	26276	0	0	0	0	747033.000	28.430	746740.000	28.419
172.31.45.54:8080	400	NONE	1	0	0	1	0	0	1.000	1.000	0.000	0.000
172.31.45.54:8080	403	NONE	143	0	0	143	0	0	2816.000	19.692	2804.000	19.608
172.31.45.54:8080	422	NONE	10	0	0	10	0	0	345.000	34.500	352.000	35.200
172.31.45.54:8080	NONE	NONE	22	0	0	22	0	0	3364.000	152.909	3356.000	152.545
