ingress_host	count	method	uri	2xx	3xx	4xx	5xx	max	avg	sum	p90	p99	sum_body	avg_body
isucon-1	14952	POST	^/user/[^/]+/gacha/draw/[^/]+/[^/]+$	14908	0	44	0	1.023	0.054	807.292	0.185	0.61	31059979	2077.313
isucon-1	21624	POST	^/user/[^/]+/present/receive$	21588	0	36	0	1.128	0.03	642.237	0.093	0.319	102191456	4725.835
isucon-1	14974	GET	^/user/[^/]+/gacha/index$	14952	0	22	0	1.375	0.032	475.454	0.105	0.332	129610876	8655.728
isucon-1	9156	POST	/login	8366	0	790	0	1.287	0.049	449.981	0.157	0.423	13125680	1433.561
isucon-1	6608	POST	^/user/[^/]+/card/addexp/[^/]+$	6589	0	19	0	1.009	0.052	344.002	0.174	0.62	2196724	332.434
isucon-1	21642	GET	^/user/[^/]+/present/index/[^/]+$	21626	0	16	0	0.604	0.013	289.073	0.026	0.165	91468089	4226.416
isucon-1	8356	POST	^/user/[^/]+/reward$	8343	0	13	0	0.832	0.032	263.563	0.1	0.337	1796060	214.943
isucon-1	6687	POST	/user	6680	0	7	0	0.838	0.031	208.523	0.095	0.355	48576464	7264.313
isucon-1	6596	POST	^/user/[^/]+/card$	6589	0	7	0	0.637	0.031	202.05	0.095	0.342	1390384	210.792
isucon-1	6616	GET	^/user/[^/]+/item$	6615	0	1	0	0.679	0.03	196.568	0.091	0.335	10037121	1517.098
isucon-1	15046	GET	^/user/[^/]+/home$	15029	0	17	0	0.752	0.008	120.307	0.021	0.055	5847676	388.653
isucon-1	1	POST	/initialize	1	0	0	0	24.712	24.712	24.712	24.712	24.712	18	18
isucon-1	4	POST	/admin/login	2	0	2	0	0.224	0.087	0.349	0.224	0.224	433	108.25
isucon-1	1	GET	^/admin/user/[^/]+$	1	0	0	0	0.106	0.106	0.106	0.106	0.106	40216	40216
isucon-1	1	PUT	/admin/master	1	0	0	0	0.014	0.014	0.014	0.014	0.014	58	58
isucon-1	1	GET	/admin/master	1	0	0	0	0.004	0.004	0.004	0.004	0.004	118555	118555
isucon-1	1	POST	^/admin/user/[^/]+/ban$	1	0	0	0	0.003	0.003	0.003	0.003	0.003	178	178
isucon-1	1	DELETE	/admin/logout	1	0	0	0	0.002	0.002	0.002	0.002	0.002	0	0
