ingress_host	count	method	uri	2xx	3xx	4xx	5xx	max	avg	sum	p90	p99	sum_body	avg_body
isucon-1	152	POST	/login	9	0	139	4	10.001	1.349	204.988	6.533	10.001	20498	134.855
isucon-1	12	POST	/user	6	0	6	0	10	7.603	91.238	10	10	38854	3237.833
isucon-1	1	POST	/initialize	1	0	0	0	48.69	48.69	48.69	48.69	48.69	18	18
isucon-1	13	POST	^/user/[^/]+/present/receive$	13	0	0	0	0.121	0.057	0.742	0.073	0.121	67755	5211.923
isucon-1	10	POST	^/user/[^/]+/gacha/draw/[^/]+/[^/]+$	9	0	1	0	0.092	0.072	0.725	0.088	0.092	17673	1767.3
isucon-1	4	POST	/admin/login	2	0	2	0	0.121	0.065	0.261	0.121	0.121	415	103.75
isucon-1	9	GET	^/user/[^/]+/gacha/index$	9	0	0	0	0.021	0.015	0.134	0.021	0.021	77981	8664.556
isucon-1	1	GET	^/admin/user/[^/]+$	1	0	0	0	0.083	0.083	0.083	0.083	0.083	39068	39068
isucon-1	6	POST	^/user/[^/]+/card/addexp/[^/]+$	5	0	1	0	0.017	0.014	0.082	0.017	0.017	1565	260.833
isucon-1	6	GET	^/user/[^/]+/item$	6	0	0	0	0.016	0.014	0.082	0.016	0.016	16421	2736.833
isucon-1	14	GET	^/user/[^/]+/present/index/[^/]+$	14	0	0	0	0.016	0.006	0.08	0.015	0.016	60209	4300.643
isucon-1	5	POST	^/user/[^/]+/card$	5	0	0	0	0.015	0.014	0.069	0.015	0.015	861	172.2
isucon-1	5	POST	^/user/[^/]+/reward$	5	0	0	0	0.008	0.008	0.038	0.008	0.008	1076	215.2
isucon-1	15	GET	^/user/[^/]+/home$	10	0	5	0	0.003	0.002	0.025	0.003	0.003	3925	261.667
isucon-1	1	POST	^/admin/user/[^/]+/ban$	1	0	0	0	0.013	0.013	0.013	0.013	0.013	178	178
isucon-1	1	PUT	/admin/master	1	0	0	0	0.008	0.008	0.008	0.008	0.008	58	58
isucon-1	1	DELETE	/admin/logout	1	0	0	0	0.006	0.006	0.006	0.006	0.006	0	0
isucon-1	1	GET	/admin/master	1	0	0	0	0.005	0.005	0.005	0.005	0.005	118556	118556
isucon-4	1	GET	/index.html	1	0	0	0	0	0	0	0	0	396	396
