upstream_addr	upstream_status	cache_status	requests	status_2xx	status_3xx	status_4xx	status_5xx	status_other	response_time_sum_ms	response_time_avg_ms	upstream_time_sum_ms	upstream_time_avg_ms
127.0.0.1:8080	200	NONE	7	7	0	0	0	0	33374.000	4767.714	33376.000	4768.000
127.0.0.1:8080	204	NONE	1	1	0	0	0	0	2.000	2.000	4.000	4.000
127.0.0.1:8080	401	NONE	1	0	0	1	0	0	61.000	61.000	60.000	60.000
127.0.0.1:8080	404	NONE	1	0	0	1	0	0	1.000	1.000	4.000	4.000
172.31.33.164:8080	200	NONE	140021	140021	0	0	0	0	114005.000	0.814	118741.000	0.848
172.31.33.164:8080	403	NONE	151	0	0	151	0	0	160.000	1.060	152.000	1.007
172.31.33.164:8080	422	NONE	45	0	0	45	0	0	260.000	5.778	244.000	5.422
172.31.36.222:8080	200	NONE	139056	139056	0	0	0	0	107600.000	0.774	109452.000	0.787
172.31.36.222:8080	403	NONE	181	0	0	181	0	0	333.000	1.840	356.000	1.967
172.31.36.222:8080	422	NONE	46	0	0	46	0	0	177.000	3.848	172.000	3.739
172.31.36.71:8080	200	NONE	139773	139773	0	0	0	0	99160.000	0.709	101781.000	0.728
172.31.36.71:8080	400	NONE	2	0	0	2	0	0	2.000	1.000	0.000	0.000
172.31.36.71:8080	401	NONE	1	0	0	1	0	0	7.000	7.000	8.000	8.000
172.31.36.71:8080	403	NONE	160	0	0	160	0	0	271.000	1.694	280.000	1.750
172.31.36.71:8080	404	NONE	1	0	0	1	0	0	8.000	8.000	8.000	8.000
172.31.36.71:8080	422	NONE	74	0	0	74	0	0	4057.000	54.824	4044.000	54.649
172.31.45.54:8080	200	NONE	139226	139226	0	0	0	0	126505.000	0.909	125951.000	0.905
172.31.45.54:8080	403	NONE	153	0	0	153	0	0	303.000	1.980	292.000	1.908
172.31.45.54:8080	422	NONE	46	0	0	46	0	0	184.000	4.000	196.000	4.261
