ingress_host	count	method	uri	2xx	3xx	4xx	5xx	max	avg	sum	p90	p99	sum_body	avg_body
isucon-1	98758	POST	^/user/[^/]+/present/receive$	98745	0	13	0	0.1	0.001	85.773	0.001	0.007	442384566	4479.481
isucon-1	98769	GET	^/user/[^/]+/present/index/[^/]+$	98759	0	10	0	0.075	0.001	69.072	0.001	0.007	395850868	4007.845
isucon-1	54366	GET	^/user/[^/]+/gacha/index$	54360	0	6	0	0.115	0.001	45.366	0.001	0.007	471173290	8666.69
isucon-1	44486	POST	/user	44412	0	74	0	0.11	0.001	44.833	0.001	0.01	323840312	7279.601
isucon-1	54361	POST	^/user/[^/]+/gacha/draw/[^/]+/[^/]+$	54353	0	8	0	0.099	0.001	43.97	0.001	0.008	113670625	2091.033
isucon-1	54403	GET	^/user/[^/]+/home$	54388	0	15	0	0.09	0.001	37.232	0.001	0.008	21194776	389.588
isucon-1	1	POST	/initialize	1	0	0	0	33.119	33.119	33.119	33.119	33.119	18	18
isucon-1	44335	POST	^/user/[^/]+/card/addexp/[^/]+$	44333	0	2	0	0.127	0.001	31.7	0.001	0.006	14781443	333.403
isucon-1	44380	GET	^/user/[^/]+/item$	44379	0	1	0	0.098	0.001	31.022	0.001	0.006	67159153	1513.275
isucon-1	44377	POST	^/user/[^/]+/card$	44377	0	0	0	0.074	0.001	30.858	0.001	0.006	9363542	211
isucon-1	10717	POST	/login	9994	0	723	0	0.081	0.002	23.306	0.004	0.023	14055228	1311.489
isucon-1	9984	POST	^/user/[^/]+/reward$	9976	0	8	0	0.089	0.001	9.9	0.002	0.011	2148092	215.153
isucon-1	4	POST	/admin/login	2	0	2	0	0.112	0.059	0.235	0.112	0.112	433	108.25
isucon-1	1	PUT	/admin/master	1	0	0	0	0.071	0.071	0.071	0.071	0.071	58	58
isucon-1	1	GET	^/admin/user/[^/]+$	1	0	0	0	0.005	0.005	0.005	0.005	0.005	40532	40532
isucon-1	1	GET	/admin/master	1	0	0	0	0.005	0.005	0.005	0.005	0.005	118548	118548
isucon-1	1	DELETE	/admin/logout	1	0	0	0	0.002	0.002	0.002	0.002	0.002	0	0
isucon-1	1	POST	^/admin/user/[^/]+/ban$	1	0	0	0	0.001	0.001	0.001	0.001	0.001	178	178
