ingress_host	count	method	uri	2xx	3xx	4xx	5xx	max	avg	sum	p90	p99	sum_body	avg_body
isucon-1	94775	POST	^/user/[^/]+/present/receive$	94771	0	4	0	0.029	0.001	48.482	0.001	0.002	424663882	4480.758
isucon-1	94776	GET	^/user/[^/]+/present/index/[^/]+$	94776	0	0	0	0.028	0	37.372	0.001	0.002	379933598	4008.753
isucon-1	1	POST	/initialize	1	0	0	0	33.998	33.998	33.998	33.998	33.998	18	18
isucon-1	52392	GET	^/user/[^/]+/gacha/index$	52388	0	4	0	0.023	0	26.12	0.001	0.002	453968329	8664.841
isucon-1	42433	POST	/user	42401	0	32	0	0.029	0.001	26.102	0.001	0.004	308972461	7281.419
isucon-1	52385	POST	^/user/[^/]+/gacha/draw/[^/]+/[^/]+$	52384	0	1	0	0.023	0	24.079	0.001	0.002	109544043	2091.134
isucon-1	52401	GET	^/user/[^/]+/home$	52395	0	6	0	0.034	0	19.119	0.001	0.002	20416969	389.629
isucon-1	42331	POST	^/user/[^/]+/card/addexp/[^/]+$	42328	0	3	0	0.026	0	17.116	0.001	0.002	14113863	333.417
isucon-1	42374	POST	^/user/[^/]+/card$	42371	0	3	0	0.027	0	16.686	0.001	0.002	8940440	210.989
isucon-1	42380	GET	^/user/[^/]+/item$	42379	0	1	0	0.024	0	16.519	0.001	0.002	64098068	1512.46
isucon-1	10417	POST	/login	10002	0	415	0	0.045	0.001	10.924	0.002	0.011	14067419	1350.429
isucon-1	10000	POST	^/user/[^/]+/reward$	10000	0	0	0	0.029	0.001	5.134	0.001	0.003	2152825	215.282
isucon-1	4	POST	/admin/login	2	0	2	0	0.082	0.052	0.206	0.082	0.082	433	108.25
isucon-1	1	PUT	/admin/master	1	0	0	0	0.029	0.029	0.029	0.029	0.029	58	58
isucon-1	1	GET	/admin/master	1	0	0	0	0.004	0.004	0.004	0.004	0.004	118556	118556
isucon-1	1	GET	^/admin/user/[^/]+$	1	0	0	0	0.003	0.003	0.003	0.003	0.003	41864	41864
isucon-1	1	DELETE	/admin/logout	1	0	0	0	0.002	0.002	0.002	0.002	0.002	0	0
isucon-1	1	POST	^/admin/user/[^/]+/ban$	1	0	0	0	0	0	0	0	0	178	178
