ingress_host	count	method	uri	2xx	3xx	4xx	5xx	max	avg	sum	p90	p99	sum_body	avg_body
isucon-1	3065	POST	^/user/[^/]+/present/receive$	3040	0	25	0	1.181	0.333	1019.446	0.704	0.968	14816046	4833.946
isucon-1	2416	POST	^/user/[^/]+/gacha/draw/[^/]+/[^/]+$	2378	0	38	0	0.909	0.193	466.703	0.433	0.686	4944962	2046.756
isucon-1	2427	POST	/login	1851	0	576	0	0.754	0.147	357.096	0.353	0.532	2788714	1149.037
isucon-1	2436	GET	^/user/[^/]+/gacha/index$	2415	0	21	0	0.753	0.122	296.526	0.316	0.528	20929108	8591.588
isucon-1	3083	GET	^/user/[^/]+/present/index/[^/]+$	3066	0	17	0	0.693	0.089	273.336	0.215	0.362	13338566	4326.489
isucon-1	652	POST	/user	652	0	0	0	0.874	0.355	231.643	0.665	0.792	4724502	7246.169
isucon-1	2503	GET	^/user/[^/]+/home$	2483	0	20	0	0.612	0.074	186.272	0.199	0.37	965852	385.878
isucon-1	1833	POST	^/user/[^/]+/reward$	1816	0	17	0	0.712	0.097	177.977	0.246	0.46	391210	213.426
isucon-1	604	POST	^/user/[^/]+/card/addexp/[^/]+$	603	0	1	0	0.661	0.116	70.181	0.311	0.477	201122	332.983
isucon-1	606	GET	^/user/[^/]+/item$	604	0	2	0	0.697	0.092	55.707	0.246	0.414	919207	1516.843
isucon-1	603	POST	^/user/[^/]+/card$	603	0	0	0	0.468	0.08	47.956	0.219	0.359	127228	210.992
isucon-1	1	POST	/initialize	1	0	0	0	22.818	22.818	22.818	22.818	22.818	18	18
isucon-1	4	POST	/admin/login	2	0	2	0	0.125	0.063	0.251	0.125	0.125	433	108.25
isucon-1	1	GET	^/admin/user/[^/]+$	1	0	0	0	0.086	0.086	0.086	0.086	0.086	39163	39163
isucon-1	1	PUT	/admin/master	1	0	0	0	0.025	0.025	0.025	0.025	0.025	58	58
isucon-1	1	GET	/admin/master	1	0	0	0	0.006	0.006	0.006	0.006	0.006	118563	118563
isucon-1	1	DELETE	/admin/logout	1	0	0	0	0.002	0.002	0.002	0.002	0.002	0	0
isucon-1	1	POST	^/admin/user/[^/]+/ban$	1	0	0	0	0	0	0	0	0	178	178
isucon-2	1	GET	/index.html	1	0	0	0	0	0	0	0	0	396	396
