ingress_host	count	method	uri	2xx	3xx	4xx	5xx	max	avg	sum	p90	p99	sum_body	avg_body
isucon-1	2717	POST	/login	2163	0	551	3	1.396	0.353	960.176	0.745	1.097	3340704	1229.556
isucon-1	5739	POST	^/user/[^/]+/present/receive$	5716	0	23	0	0.961	0.123	705.801	0.258	0.444	26962021	4698.035
isucon-1	3910	POST	^/user/[^/]+/gacha/draw/[^/]+/[^/]+$	3887	0	23	0	0.979	0.156	609.481	0.317	0.531	8099819	2071.565
isucon-1	5763	GET	^/user/[^/]+/present/index/[^/]+$	5740	0	23	0	1.053	0.08	459.759	0.175	0.33	24197621	4198.789
isucon-1	3942	GET	^/user/[^/]+/gacha/index$	3909	0	33	0	0.862	0.098	386.522	0.203	0.37	33900418	8599.802
isucon-1	1764	POST	^/user/[^/]+/card/addexp/[^/]+$	1748	0	16	0	1.178	0.148	261.741	0.299	0.471	582861	330.42
isucon-1	2158	POST	^/user/[^/]+/reward$	2149	0	9	0	0.905	0.095	206.037	0.2	0.368	462709	214.416
isucon-1	3995	GET	^/user/[^/]+/home$	3988	0	7	0	0.835	0.046	185.035	0.104	0.211	1551748	388.423
isucon-1	1776	GET	^/user/[^/]+/item$	1767	0	9	0	1.145	0.097	171.705	0.202	0.357	2680004	1509.011
isucon-1	1750	POST	^/user/[^/]+/card$	1745	0	5	0	1.118	0.094	164.299	0.194	0.321	368189	210.394
isucon-1	1840	POST	/user	1832	0	8	0	0.859	0.089	164.019	0.18	0.303	13310126	7233.764
isucon-1	1	POST	/initialize	1	0	0	0	23.004	23.004	23.004	23.004	23.004	18	18
isucon-1	4	POST	/admin/login	2	0	2	0	0.223	0.087	0.348	0.223	0.223	433	108.25
isucon-1	1	PUT	/admin/master	1	0	0	0	0.132	0.132	0.132	0.132	0.132	58	58
isucon-1	1	GET	^/admin/user/[^/]+$	1	0	0	0	0.091	0.091	0.091	0.091	0.091	43110	43110
isucon-1	1	DELETE	/admin/logout	1	0	0	0	0.03	0.03	0.03	0.03	0.03	0	0
isucon-1	1	GET	/admin/master	1	0	0	0	0.006	0.006	0.006	0.006	0.006	118563	118563
isucon-1	1	POST	^/admin/user/[^/]+/ban$	1	0	0	0	0.002	0.002	0.002	0.002	0.002	178	178
