upstream_addr	upstream_status	cache_status	requests	status_2xx	status_3xx	status_4xx	status_5xx	status_other	response_time_sum_ms	response_time_avg_ms	upstream_time_sum_ms	upstream_time_avg_ms
127.0.0.1:8080	200	NONE	7	7	0	0	0	0	33169.000	4738.429	33172.000	4738.857
127.0.0.1:8080	204	NONE	1	1	0	0	0	0	2.000	2.000	4.000	4.000
127.0.0.1:8080	401	NONE	1	0	0	1	0	0	61.000	61.000	60.000	60.000
127.0.0.1:8080	404	NONE	1	0	0	1	0	0	2.000	2.000	0.000	0.000
172.31.33.164:8080	200	NONE	135427	135427	0	0	0	0	132972.000	0.982	135952.000	1.004
172.31.33.164:8080	403	NONE	166	0	0	166	0	0	246.000	1.482	268.000	1.614
172.31.33.164:8080	422	NONE	33	0	0	33	0	0	166.000	5.030	176.000	5.333
172.31.36.222:8080	200	NONE	135025	135025	0	0	0	0	125418.000	0.929	129096.000	0.956
172.31.36.222:8080	403	NONE	163	0	0	163	0	0	273.000	1.675	276.000	1.693
172.31.36.222:8080	422	NONE	35	0	0	35	0	0	234.000	6.686	224.000	6.400
172.31.36.71:8080	200	NONE	136024	136024	0	0	0	0	111377.000	0.819	116628.000	0.857
172.31.36.71:8080	400	NONE	2	0	0	2	0	0	1.000	0.500	0.000	0.000
172.31.36.71:8080	401	NONE	1	0	0	1	0	0	4.000	4.000	4.000	4.000
172.31.36.71:8080	403	NONE	153	0	0	153	0	0	250.000	1.634	220.000	1.438
172.31.36.71:8080	422	NONE	28	0	0	28	0	0	84.000	3.000	88.000	3.143
172.31.45.54:8080	200	NONE	134811	134811	0	0	0	0	116418.000	0.864	117288.000	0.870
172.31.45.54:8080	403	NONE	162	0	0	162	0	0	190.000	1.173	208.000	1.284
172.31.45.54:8080	404	NONE	1	0	0	1	0	0	17.000	17.000	16.000	16.000
172.31.45.54:8080	422	NONE	27	0	0	27	0	0	156.000	5.778	164.000	6.074
