upstream_addr	upstream_status	cache_status	requests	status_2xx	status_3xx	status_4xx	status_5xx	status_other	response_time_sum_ms	response_time_avg_ms	upstream_time_sum_ms	upstream_time_avg_ms
127.0.0.1:8080	200	NONE	7	7	0	0	0	0	41486.000	5926.571	41492.000	5927.429
127.0.0.1:8080	204	NONE	1	1	0	0	0	0	1.000	1.000	0.000	0.000
127.0.0.1:8080	401	NONE	1	0	0	1	0	0	61.000	61.000	60.000	60.000
127.0.0.1:8080	404	NONE	1	0	0	1	0	0	1.000	1.000	4.000	4.000
172.31.33.164:8080	200	NONE	89207	89207	0	0	0	0	406153.000	4.553	405477.000	4.545
172.31.33.164:8080	403	NONE	174	0	0	174	0	0	1304.000	7.494	1320.000	7.586
172.31.33.164:8080	422	NONE	19	0	0	19	0	0	81.000	4.263	76.000	4.000
172.31.33.164:8080	NONE	NONE	2	0	0	2	0	0	17.000	8.500	16.000	8.000
172.31.36.222:8080	200	NONE	88784	88784	0	0	0	0	401528.000	4.523	400584.000	4.512
172.31.36.222:8080	403	NONE	160	0	0	160	0	0	1037.000	6.481	1036.000	6.475
172.31.36.222:8080	422	NONE	6	0	0	6	0	0	8.000	1.333	0.000	0.000
172.31.36.222:8080	NONE	NONE	2	0	0	2	0	0	6.000	3.000	4.000	2.000
172.31.36.71:8080	200	NONE	89597	89597	0	0	0	0	369388.000	4.123	371258.000	4.144
172.31.36.71:8080	400	NONE	2	0	0	2	0	0	2.000	1.000	0.000	0.000
172.31.36.71:8080	401	NONE	1	0	0	1	0	0	4.000	4.000	4.000	4.000
172.31.36.71:8080	403	NONE	200	0	0	200	0	0	1299.000	6.495	1316.000	6.580
172.31.36.71:8080	422	NONE	13	0	0	13	0	0	34.000	2.615	28.000	2.154
172.31.36.71:8080	NONE	NONE	2	0	0	2	0	0	8.000	4.000	12.000	6.000
172.31.45.54:8080	200	NONE	89012	89012	0	0	0	0	482212.000	5.417	482226.000	5.418
172.31.45.54:8080	403	NONE	183	0	0	183	0	0	1218.000	6.656	1208.000	6.601
172.31.45.54:8080	404	NONE	1	0	0	1	0	0	8.000	8.000	8.000	8.000
172.31.45.54:8080	422	NONE	10	0	0	10	0	0	39.000	3.900	40.000	4.000
172.31.45.54:8080	NONE	NONE	3	0	0	3	0	0	7.000	2.333	8.000	2.667
